"","X","start.time","end.time","category","Nth.instance","X..descriptors","Offensive.Team","Position","Location","Tactic","Type","Hand","Result","Defense","Save.Diff","Shot.Diff","Athlete","x","y","xj","yj","distance","angle","Goal"
"1",1,"00:00:00:10","00:00:10:10","Shot",1,11,"Michigan",32,"Location 5","Penalty","Skip","Right","Save","Other",5,1,3,0,5.5,0.131949838,5.311603842,5.5,0,"Not Goal"
"2",2,"00:00:10:30","00:00:20:30","Shot",2,11,"Pacific",61,"Location 4","6 on 5","Normal","Right","Goal","Field Blocker",4,2,3,1,2.5,0.986398512,2.948751425,2.692582404,0.380506377,"Goal"
"3",3,"00:00:20:50","00:00:30:50","Shot",3,11,"Michigan",23,"Location 4","Perimeter","Normal","Right","New Clock","Field Blocker",3,4,4,2,5.5,2.419834951,5.53506933,5.852349955,0.348771004,"Not Goal"
"4",4,"00:00:30:70","00:00:40:70","Shot",4,11,"Michigan",32,"Location 5","Perimeter","Normal","Right","Save","Pressured",2,4,10,0,5.5,0.216976711,5.748630729,5.5,0,"Not Goal"
"5",5,"00:00:40:90","00:00:50:90","Shot",5,11,"Pacific",23,"Location 1","Direct","Normal","Right","Save","Field Blocker",2,4,10,2,5.5,1.799805013,5.055552588,5.852349955,0.348771004,"Not Goal"
"6",6,"00:00:51:10","00:01:01:10","Shot",6,11,"Michigan",63,"Location 1","Drive","Lob","Right","Goal","Pressured",4,3,12,-1,2.5,-0.822634266,2.588460448,2.692582404,-0.380506377,"Goal"
"7",7,"00:01:01:30","00:01:11:30","Shot",7,11,"Michigan",16,"Location 3","Post up","Backhand","Right","Save","Contested",2,4,12,2,3.5,1.636770408,3.524703157,4.031128874,0.519146114,"Not Goal"
"8",8,"00:01:11:50","00:01:21:50","Shot",8,11,"Pacific",41,"Location 2","Transition","Normal","Right","Save","Field Blocker",2,4,10,-2,5.5,-1.894555046,5.788858847,5.852349955,-0.348771004,"Not Goal"
"9",9,"00:01:21:70","00:01:31:70","Shot",9,11,"Michigan",32,"Location 2","Perimeter","Lob","Right","Goal","Field Blocker",5,3,10,0,5.5,0.22118239,5.092763786,5.5,0,"Goal"
"10",10,"00:01:31:90","00:01:40:40","Shot",10,11,"Pacific",13,"Location 2","6 on 5","Normal","Right","Save","Field Blocker",3,3,7,2,2.5,1.697547211,2.965213255,3.201562119,0.674740942,"Not Goal"
"11",11,"00:01:40:40","00:01:48:90","Shot",11,11,"Pacific",51,"Location 5","6 on 5","Normal","Right","Goal","Field Blocker",4,3,10,-2,2.5,-1.741247836,2.614250176,3.201562119,-0.674740942,"Goal"
"12",12,"00:01:49:10","00:01:59:10","Shot",12,11,"Michigan",33,"Location 2","Perimeter","Normal","Right","Miss","Field Blocker",1,4,11,-1,5.5,-0.987247337,5.349758017,5.590169944,-0.1798535,"Not Goal"
"13",13,"00:01:59:31","00:02:09:31","Shot",13,11,"Michigan",51,"Location 4","First Wave","Normal","Left","Goal","Pressured",4,2,18,-2,2.5,-2.225042846,2.910406129,3.201562119,-0.674740942,"Goal"
"14",14,"00:02:09:51","00:02:19:51","Shot",14,11,"Pacific",31,"Location 4","6 on 5","Normal","Right","Goal","Field Blocker",5,3,5,1,5.5,1.372312115,5.373884104,5.590169944,0.1798535,"Goal"
"15",15,"00:02:19:71","00:02:29:71","Shot",15,11,"Michigan",23,"Location 1","Perimeter","Normal","Right","Save","Field Blocker",2,4,12,2,5.5,2.282922859,5.189436983,5.852349955,0.348771004,"Not Goal"
"16",16,"00:02:29:91","00:02:39:91","Shot",16,11,"Pacific",13,"Location 2","Transition","Normal","Right","Save","Contested",3,4,10,2,2.5,1.550862471,2.537532811,3.201562119,0.674740942,"Not Goal"
"17",17,"00:02:40:11","00:02:50:11","Shot",17,11,"Michigan",13,"Location 2","6 on 5","Normal","Right","Miss","Blocker at Distance",1,3,4,2,2.5,2.465047512,2.132397281,3.201562119,0.674740942,"Not Goal"
"18",18,"00:02:50:31","00:03:00:31","Shot",18,11,"Michigan",33,"Location 2","Perimeter","Normal","Right","Miss","Contested",1,4,10,-1,5.5,-1.123316477,5.58319058,5.590169944,-0.1798535,"Not Goal"
"19",19,"00:03:00:51","00:03:10:51","Shot",19,11,"Pacific",31,"Location 4","Direct","Normal","Right","Save","Field Blocker",2,4,7,1,5.5,0.827931195,5.312457103,5.590169944,0.1798535,"Not Goal"
"20",20,"00:03:10:71","00:03:20:71","Shot",20,11,"Michigan",61,"Location 2","Double Post","Normal","Right","Miss","Contested",1,3,3,1,2.5,0.767128485,2.84937943,2.692582404,0.380506377,"Not Goal"
"21",21,"00:03:20:91","00:03:30:91","Shot",21,11,"Pacific",47,"Location 1","Shot Clock","Lob","Right","Save","Contested",1,5,10,-2,7.5,-2.092953964,7.398507424,7.762087348,-0.260602392,"Not Goal"
"22",22,"00:03:31:11","00:03:41:11","Shot",22,11,"Michigan",52,"Location 5","Perimeter","Skip","Left","Goal","Contested",3,3,18,-3,2.5,-2.813363211,2.380615502,3.905124838,-0.876058051,"Goal"
"23",23,"00:03:41:32","00:03:51:32","Shot",23,11,"Pacific",19,"Location 2","Perimeter","Normal","Right","Field Block","Field Blocker",1,3,4,2,4.5,2.206450268,4.83849724,4.924428901,0.41822433,"Not Goal"
